Season,Host_country,Year,Host_country_code
Summer,Greece,1896,GRC
Summer,France,1900,FRA
Summer,USA,1904,USA
Summer,Greece,1906,GRE
Summer,UK,1908,GBR
Summer,Sweden,1912,SWE
Summer,Belgium,1920,BEL
Winter,France,1924,FRA
Summer,France,1924,FRA
Winter,Switzerland,1928,CHE
Summer,Netherlands,1928,NLD
Summer,USA,1932,USA
Winter,USA,1932,USA
Winter,Germany,1936,DEU
Summer,Germany,1936,DEU
Summer,UK,1948,GBR
Winter,Switzerland,1948,CHE
Summer,Finland,1952,FIN
Winter,Norway,1952,NOR
Summer,Australia,1956,AUS
Winter,Italy,1956,ITA
Winter,USA,1960,USA
Summer,Italy,1960,ITA
Winter,Austria,1964,AUT
Summer,Japan,1964,JPN
Winter,France,1968,FRA
Summer,Mexico,1968,MEX
Winter,Japan,1972,JPN
Summer,Germany,1972,DEU
Summer,Canada,1976,CAN
Winter,Austria,1976,AUT
Summer,Russia,1980,RUS
Winter,USA,1980,USA
Winter,Bosnia and Herzegovina,1984,BIH
Summer,USA,1984,USA
Summer,South Korea,1988,KOR
Winter,Canada,1988,CAN
Winter,France,1992,FRA
Summer,Spain,1992,ESP
Winter,Norway,1994,NOR
Summer,USA,1996,USA
Winter,Japan,1998,JPN
Summer,Australia,2000,AUS
Winter,USA,2002,USA
Summer,Greece,2004,GRC
Winter,Italy,2006,ITA
Summer,China,2008,CHN
Winter,Canada,2010,CAN
Summer,UK,2012,GBR
Winter,Russia,2014,RUS
Summer,Brazil,2016,BRA
